Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
fp,fp_0_trace,64.73471260070801,Pass,376.21401715278625,30000052,6806762,4.4074,1619852,96811,0.2380,0.0142,5.9765%,3.2270,3032354,31.3224,101.0783,15000052,3429530,4.3738,807780,49711,0.2355,0.0145,6.1540%,3.3141,1554459,31.2699,103.6302
fp,fp_10_trace,270.7881956100464,Pass,818.4999170303345,40000016,6906521,5.7916,3492402,84696,0.5057,0.0123,2.4252%,2.1174,1849833,21.8409,46.2458,20000016,3394268,5.8923,1748758,40644,0.5152,0.0120,2.3242%,2.0322,890206,21.9025,44.5103
fp,fp_11_trace,297.7953281402588,Pass,815.6884546279907,40000016,7618526,5.2504,3526510,27956,0.4629,0.0037,0.7927%,0.6989,614319,21.9745,15.3580,20000016,3681981,5.4319,1776440,13741,0.4825,0.0037,0.7735%,0.6870,296226,21.5578,14.8113
fp,fp_12_trace,48.495734214782715,Pass,689.7174518108368,40000016,8115976,4.9286,4420257,48627,0.5446,0.0060,1.1001%,1.2157,3007701,61.8525,75.1925,20000016,3937453,5.0794,2222665,21585,0.5645,0.0055,0.9711%,1.0792,1342231,62.1835,67.1115
fp,fp_13_trace,84.63656806945801,Pass,569.8717474937439,40000016,15292133,2.6157,6454282,507592,0.4221,0.0332,7.8644%,12.6898,10787794,21.2529,269.6947,20000016,7507852,2.6639,3233671,254350,0.4307,0.0339,7.8657%,12.7175,5311866,20.8841,265.5931
fp,fp_1_trace,42.69381523132324,Pass,362.9499251842499,30000052,30423720,0.9861,5950800,467449,0.1956,0.0154,7.8552%,15.5816,26721438,57.1644,890.7131,15000052,15229086,0.9850,2965791,234752,0.1947,0.0154,7.9153%,15.6501,13387849,57.0298,892.5202
fp,fp_2_trace,113.98153591156006,Pass,493.8062083721161,30000052,6215210,4.8269,2471756,76844,0.3977,0.0124,3.1089%,2.5615,2698134,35.1118,89.9376,15000052,3067702,4.8897,1232306,39203,0.4017,0.0128,3.1813%,2.6135,1356681,34.6066,90.4451
fp,fp_3_trace,223.02585411071777,Pass,614.4779119491577,30000052,12794203,2.3448,1539997,60945,0.1204,0.0048,3.9575%,2.0315,6715360,110.1872,223.8449,15000052,6386530,2.3487,770204,31215,0.1206,0.0049,4.0528%,2.0810,3393313,108.7078,226.2201
fp,fp_4_trace,106.30326175689697,Pass,506.9484612941742,30000052,6539941,4.5872,2573337,17207,0.3935,0.0026,0.6687%,0.5736,1010474,58.7246,33.6824,15000052,2608089,5.7514,1285217,6594,0.4928,0.0025,0.5131%,0.4396,284058,43.0783,18.9371
fp,fp_5_trace,332.9483413696289,Pass,928.3528254032135,40000016,7567836,5.2855,740391,37456,0.0978,0.0049,5.0589%,0.9364,1283297,34.2615,32.0824,20000016,3749190,5.3345,370890,18645,0.0989,0.0050,5.0271%,0.9322,641183,34.3890,32.0591
fp,fp_6_trace,63.58891201019287,Pass,586.1036839485168,40000016,5845956,6.8423,7034423,40772,1.2033,0.0070,0.5796%,1.0193,1515942,37.1810,37.8985,20000016,2836989,7.0497,3515104,19022,1.2390,0.0067,0.5412%,0.9511,711332,37.3952,35.5666
fp,fp_7_trace,159.0718936920166,Pass,781.4819297790527,40000016,7881807,5.0750,4716883,45110,0.5985,0.0057,0.9564%,1.1277,1932342,42.8362,48.3085,20000016,3719888,5.3765,2394520,19320,0.6437,0.0052,0.8068%,0.9660,828152,42.8650,41.4076
fp,fp_8_trace,211.10272789001465,Pass,715.022834777832,40000016,13212988,3.0273,2322129,314952,0.1757,0.0238,13.5631%,7.8738,7166962,22.7557,179.1740,20000016,7384504,2.7084,1347173,222234,0.1824,0.0301,16.4963%,11.1117,4993058,22.4676,249.6527
fp,fp_9_trace,143.53112411499023,Pass,785.7943539619446,40000016,16707684,2.3941,5012816,182074,0.3000,0.0109,3.6322%,4.5518,11928295,65.5134,298.2073,20000016,8027245,2.4915,2500178,98187,0.3115,0.0122,3.9272%,4.9093,5724562,58.3026,286.2279
int,int_0_trace,137.11144542694092,Pass,490.8188455104828,40000041,14701131,2.7209,6223265,205309,0.4233,0.0140,3.2991%,5.1327,10015750,48.7838,250.3935,20000041,6524639,3.0653,3076555,100309,0.4715,0.0154,3.2604%,5.0154,4294649,42.8142,214.7320
int,int_10_trace,204.85591316223145,Pass,914.4038529396057,60000052,9673683,6.2024,7032592,32181,0.7270,0.0033,0.4576%,0.5363,877935,27.2812,14.6322,30000052,4472195,6.7081,3499163,15363,0.7824,0.0034,0.4390%,0.5121,353287,22.9960,11.7762
int,int_11_trace,203.19092559814453,Pass,819.301949262619,60000052,16565909,3.6219,4130584,252356,0.2493,0.0152,6.1095%,4.2059,9158351,36.2914,152.6391,30000052,8289301,3.6191,2064453,127619,0.2491,0.0154,6.1817%,4.2540,4627734,36.2621,154.2575
int,int_12_trace,204.59925079345703,Pass,1031.0813069343567,59999603,18454516,3.2512,6357220,27398,0.3445,0.0015,0.4310%,0.4566,1026482,37.4656,17.1081,30999603,4969473,6.2380,4522132,26172,0.9100,0.0053,0.5788%,0.8443,944903,36.1036,30.4811
int,int_13_trace,32.30572509765625,Pass,494.053599357605,40000052,6237898,6.4124,4243961,36991,0.6804,0.0059,0.8716%,0.9248,1064785,28.7850,26.6196,20000052,3060787,6.5343,2111572,17419,0.6899,0.0057,0.8249%,0.8709,517035,29.6822,25.8517
int,int_14_trace,177.29002475738525,Pass,568.1217901706696,39999640,6990422,5.7221,7635435,15865,1.0923,0.0023,0.2078%,0.3966,403223,25.4159,10.0807,20999640,3398714,6.1787,3974167,6804,1.1693,0.0020,0.1712%,0.3240,155764,22.8930,7.4175
int,int_15_trace,98.1560001373291,Pass,1004.2192213535309,70000157,18505236,3.7827,9192864,33514,0.4968,0.0018,0.3646%,0.4788,1848008,55.1414,26.4001,35000157,9308065,3.7602,4669511,31756,0.5017,0.0034,0.6801%,0.9073,1472674,46.3747,42.0762
int,int_16_trace,128.2670030593872,Pass,633.5621972084045,40000031,19002465,2.1050,6733574,325011,0.3544,0.0171,4.8267%,8.1253,7284591,22.4134,182.1146,20000031,8150209,2.4539,3364149,168450,0.4128,0.0207,5.0072%,8.4225,3622888,21.5072,181.1441
int,int_17_trace,128.60758018493652,Pass,573.2515873908997,39999987,16627232,2.4057,6659971,255794,0.4005,0.0154,3.8408%,6.3949,5862475,22.9187,146.5619,20999987,6695060,3.1366,3432362,119801,0.5127,0.0179,3.4903%,5.7048,2634785,21.9930,125.4660
int,int_18_trace,108.31880569458008,Pass,679.8089725971222,39999864,10814890,3.6986,9457814,33897,0.8745,0.0031,0.3584%,0.8474,1507895,44.4846,37.6975,20999864,5166198,4.0649,4985263,14726,0.9650,0.0029,0.2954%,0.7012,599804,40.7310,28.5623
int,int_19_trace,184.28955841064453,Pass,651.84055519104,40000052,8021952,4.9863,5852871,33928,0.7296,0.0042,0.5797%,0.8482,1436022,42.3256,35.9005,20000052,3785747,5.2830,2929049,13244,0.7737,0.0035,0.4522%,0.6622,604591,45.6502,30.2295
int,int_1_trace,92.84952068328857,Pass,472.4977045059204,30000052,18836926,1.5926,5301134,349374,0.2814,0.0185,6.5906%,11.6458,14889272,42.6170,496.3082,15000052,8984253,1.6696,2642836,173474,0.2942,0.0193,6.5639%,11.5649,7045071,40.6117,469.6698
int,int_20_trace,187.00185585021973,Pass,952.4720375537872,60000051,17325628,3.4631,9561405,167471,0.5519,0.0097,1.7515%,2.7912,5291208,31.5948,88.1867,30000051,7185699,4.1750,4877083,80459,0.6787,0.0112,1.6497%,2.6820,2245702,27.9111,74.8566
